Date,lyondbsl
3/9/2022,75.99284363
3/10/2022,77.05120087
3/11/2022,79.90180206
3/14/2022,80.24171448
3/15/2022,76.20915222
3/16/2022,77.9009552
3/17/2022,80.50436401
3/18/2022,79.12929535
3/21/2022,81.06832123
3/22/2022,80.79019928
3/23/2022,80.48889923
3/24/2022,82.76785278
3/25/2022,83.19273376
3/28/2022,81.44684601
3/29/2022,81.01423645
3/30/2022,81.13011169
3/31/2022,79.43055725
4/1/2022,79.83229065
4/4/2022,79.19880676
4/5/2022,78.75847626
4/6/2022,77.01258087
4/7/2022,77.40655518
4/8/2022,78.43400574
4/11/2022,78.32585144
4/12/2022,79.97904968
4/13/2022,81.82537079
4/14/2022,83.10777283
4/18/2022,84.16610718
4/19/2022,85.44849396
4/20/2022,85.86566925
4/21/2022,85.86566925
4/22/2022,82.40476227
4/25/2022,81.27687073
4/26/2022,80.54299927
4/27/2022,81.36186218
4/28/2022,81.96443176
4/29/2022,81.91035461
5/2/2022,83.43994141
5/3/2022,85.68797302
5/4/2022,89.61238861
5/5/2022,86.08196259
5/6/2022,85.1472168
5/9/2022,82.35068512
5/10/2022,81.58589172
5/11/2022,82.96871948
5/12/2022,81.70176697
5/13/2022,82.44339752
5/16/2022,82.97644043
5/17/2022,86.05879974
5/18/2022,85.21673584
5/19/2022,84.2279129
5/20/2022,83.33178711
5/23/2022,82.43566132
5/24/2022,82.22710419
5/25/2022,84.21244812
5/26/2022,86.13604736
5/27/2022,90.44670868
5/31/2022,88.26047516
6/1/2022,88.30683136
6/2/2022,89.03300476
6/3/2022,87.83892059
6/6/2022,89.8263092
6/7/2022,91.84645844
6/8/2022,89.94901276
6/9/2022,88.50955963
6/10/2022,83.88861084
6/13/2022,79.81563568
6/14/2022,79.72566223
6/15/2022,78.62971497
6/16/2022,74.60581207
6/17/2022,73.38720703
6/21/2022,74.58945465
6/22/2022,71.58790588
6/23/2022,69.10974884
6/24/2022,72.9864502
6/27/2022,72.15222168
6/28/2022,72.3157959
6/29/2022,71.85778809
6/30/2022,71.53063965
7/1/2022,71.69421387
7/5/2022,69.60865784
7/6/2022,70.36109161
7/7/2022,72.57749939
7/8/2022,71.5470047
7/11/2022,70.78638458
7/12/2022,70.2793045
7/13/2022,69.17517853
7/14/2022,68.37367249
7/15/2022,69.3060379
7/18/2022,70.68005371
7/19/2022,73.07642365
7/20/2022,72.79014587
7/21/2022,71.170784
7/22/2022,70.99085236
7/25/2022,71.58790588
7/26/2022,71.30162811
7/27/2022,72.29944611
7/28/2022,72.43029785
7/29/2022,72.88830566
8/1/2022,71.11353302
8/2/2022,69.90310669
8/3/2022,70.0503006
8/4/2022,69.92762756
8/5/2022,70.01759338
8/8/2022,70.33655548
8/9/2022,71.36707306
8/10/2022,72.79014587
8/11/2022,74.76122284
8/12/2022,75.51366425
8/15/2022,74.04968262
8/16/2022,74.7530365
8/17/2022,73.45262909
8/18/2022,74.55674744
8/19/2022,73.00279999
8/22/2022,72.01319122
8/23/2022,73.77977753
8/24/2022,72.17675018
8/25/2022,74.19688416
8/26/2022,71.99245453
8/29/2022,71.13883972
8/30/2022,69.29904175
8/31/2022,68.78522491
9/1/2022,67.84046936
9/2/2022,66.94543457
9/6/2022,66.77140045
9/7/2022,67.54212189
9/8/2022,68.3708725
9/9/2022,69.72169495
9/12/2022,70.69962311
9/13/2022,67.1774826
9/14/2022,65.47028351
9/15/2022,65.21337128
9/16/2022,63.93711472
9/19/2022,64.66640472
9/20/2022,64.11114502
9/21/2022,62.73542786
9/22/2022,62.24649048
9/23/2022,60.56414795
9/26/2022,59.83486557
9/27/2022,60.72990417
9/28/2022,62.56968689
9/29/2022,61.9978714
9/30/2022,62.38738632
10/3/2022,64.8238678
10/4/2022,67.18576813
10/5/2022,67.03660583
10/6/2022,66.39846802
10/7/2022,65.15535736
10/10/2022,65.06422424
10/11/2022,64.40949249
10/12/2022,64.00340271
10/13/2022,66.29901886
10/14/2022,64.4757843
10/17/2022,64.90673065
10/18/2022,66.48135376
10/19/2022,65.47028351
10/20/2022,65.50343323
10/21/2022,68.0891037
10/24/2022,67.36808014
10/25/2022,67.87361908
10/26/2022,68.13881683
10/27/2022,68.37916565
10/28/2022,64.633255
10/31/2022,63.35699844
11/1/2022,65.03104401
11/2/2022,64.80729675
11/3/2022,64.48408508
11/4/2022,69.3321991
11/7/2022,69.29904175
11/8/2022,70.08634949
11/9/2022,66.3819046
11/10/2022,69.58081818
11/11/2022,73.80738068
11/14/2022,72.2244873
11/15/2022,70.67475128
11/16/2022,68.52832794
11/17/2022,67.78245544
11/18/2022,68.20511627
11/21/2022,69.00070953
11/22/2022,72.49798584
11/23/2022,73.00350189
11/25/2022,72.91109467
11/28/2022,70.35722351
11/29/2022,71.27292633
11/30/2022,71.4157486
12/1/2022,71.10490417
12/2/2022,71.32333374
12/5/2022,70.12200928
12/6/2022,69.13910675
12/7/2022,68.60985565
12/8/2022,68.53424835
12/9/2022,68.43343353
12/12/2022,69.693573
12/13/2022,70.6680603
12/14/2022,70.29843903
12/15/2022,67.77816772
12/16/2022,67.69416809
12/19/2022,67.45894623
12/20/2022,67.8369751
12/21/2022,69.13910675
12/22/2022,68.45023346
12/23/2022,69.83636475
12/27/2022,70.35722351
12/28/2022,68.97109222
12/29/2022,69.64316559
12/30/2022,69.75238037
1/3/2023,70.55885315
1/4/2023,72.163414
1/5/2023,73.02870178
1/6/2023,75.69177246
1/9/2023,76.73349762
1/10/2023,77.01912689
1/11/2023,77.94322968
1/12/2023,78.69089508
1/13/2023,78.74130249
1/17/2023,76.94350433
1/18/2023,76.29665375
1/19/2023,75.85140228
1/20/2023,77.53997803
1/23/2023,78.07763672
1/24/2023,77.9095993
1/25/2023,78.10283661
1/26/2023,79.69061279
1/27/2023,80.27025604
1/30/2023,79.35456085
1/31/2023,81.22795868
2/1/2023,81.63119507
2/2/2023,80.95072174
2/3/2023,82.4544754
2/6/2023,82.99213409
2/7/2023,84.3110733
2/8/2023,83.09295654
2/9/2023,82.86612701
2/10/2023,83.56338501
2/13/2023,84.85712433
2/14/2023,84.11785126
2/15/2023,84.10105133
2/16/2023,82.95852661
2/17/2023,81.75721741
2/21/2023,79.75779724
2/22/2023,79.71580505
2/23/2023,79.51416779
2/24/2023,81.22795868
2/27/2023,80.48867035
2/28/2023,80.63989258
3/1/2023,81.89161682
3/2/2023,82.06804657
3/3/2023,82.69736481
3/6/2023,81.18356323
3/7/2023,79.15952301
3/8/2023,79.78883362
3/9/2023,77.5266571
3/10/2023,75.63015747
3/13/2023,73.80169678
3/14/2023,74.32047272
3/15/2023,71.57354736
3/16/2023,72.32194519
3/17/2023,72.01576996
3/20/2023,74.10787201
3/21/2023,75.24747467
3/22/2023,73.79319763
3/23/2023,72.91724396
3/24/2023,73.62311554
3/27/2023,74.43953705
3/28/2023,76.59117126
3/29/2023,77.86683655
3/30/2023,79.00643158
3/31/2023,79.84838104
4/3/2023,80.96244812
4/4/2023,79.45716858
4/5/2023,80.17154694
4/6/2023,80.23957825
4/10/2023,80.76686096
4/11/2023,81.18356323
4/12/2023,82.67185974
4/13/2023,81.69384003
4/14/2023,82.36569977
4/17/2023,82.7228775
4/18/2023,82.62083435
4/19/2023,81.9659729
4/20/2023,80.82639313
4/21/2023,79.79733276
4/24/2023,80.91143036
4/25/2023,77.39057922
4/26/2023,77.05040741
4/27/2023,77.66272736
4/28/2023,80.46070099
5/1/2023,79.53371429
5/2/2023,78.1900177
5/3/2023,76.09791565
5/4/2023,76.73574829
5/5/2023,78.5812149
5/8/2023,78.02842712
5/9/2023,77.62020874
5/10/2023,76.99938965
5/11/2023,75.49408722
5/12/2023,75.91081238
5/15/2023,76.62518311
5/16/2023,75.01784515
5/17/2023,75.82577515
5/18/2023,76.57415771
5/19/2023,77.29704285
5/22/2023,77.11844635
5/23/2023,77.16096497
5/24/2023,76.15743256
5/25/2023,75.49408722
5/26/2023,75.3129425
5/30/2023,74.80401611
5/31/2023,73.78616333
6/1/2023,74.75226593
6/2/2023,77.56430817
6/5/2023,77.39180756
6/6/2023,76.77072906
6/7/2023,79.5655365
6/8/2023,78.03012085
6/9/2023,76.78798676
6/12/2023,76.81386566
6/13/2023,78.27164459
6/14/2023,77.91798401
6/15/2023,79.16009521
6/16/2023,79.5655365
6/20/2023,77.1588974
6/21/2023,77.15026855
6/22/2023,76.14104462
6/23/2023,76.1927948
6/26/2023,76.95188141
6/27/2023,77.88347626
6/28/2023,78.34928131
6/29/2023,78.20263672
6/30/2023,79.21186829
7/3/2023,79.88468933
7/5/2023,77.70233154
7/6/2023,76.96050262
7/7/2023,78.0646286
7/10/2023,78.60806274
7/11/2023,79.18598938
7/12/2023,80.30735779
7/13/2023,79.9709549
7/14/2023,78.49591827
7/17/2023,78.40103149
7/18/2023,78.31477356
7/19/2023,78.71157074
7/20/2023,78.62532043
7/21/2023,79.16009521
7/24/2023,78.33201599
7/25/2023,80.85942078
7/26/2023,81.93766785
7/27/2023,83.6024704
7/28/2023,84.85321045
7/31/2023,85.27589417
8/1/2023,84.327034
8/2/2023,83.08490753
8/3/2023,83.17979431
8/4/2023,82.55873108
8/7/2023,84.83597565
8/8/2023,84.89633942
8/9/2023,85.68992615
8/10/2023,86.86306763
8/11/2023,85.5346756
8/14/2023,85.62954712
8/15/2023,83.11941528
8/16/2023,82.88650513
8/17/2023,83.61972046
8/18/2023,84.00788879
8/21/2023,84.45642853
8/22/2023,84.40468597
8/23/2023,83.46445465
8/24/2023,83.91298676
8/25/2023,84.33242798
8/28/2023,85.05770111
8/29/2023,86.32475281
8/30/2023,86.4383316
8/31/2023,86.30725861
9/1/2023,88.22967529
9/5/2023,86.26357269
9/6/2023,87.09371185
9/7/2023,86.36843109
9/8/2023,86.84030151
9/11/2023,87.66168213
9/12/2023,87.53935242
9/13/2023,86.36843109
9/14/2023,87.98500824
9/15/2023,87.41702271
9/18/2023,87.84519196
9/19/2023,85.55578613
9/20/2023,84.78681946
9/21/2023,83.44113159
9/22/2023,82.890625
9/25/2023,83.24889374
9/26/2023,81.81582642
9/27/2023,82.98674774
9/28/2023,82.61100006
9/29/2023,82.75081635
10/2/2023,81.65854645
10/3/2023,81.9556427
10/4/2023,81.70223236
10/5/2023,79.24679565
10/6/2023,79.15942383
10/9/2023,81.22161865
10/10/2023,82.10418701
10/11/2023,81.73718262
10/12/2023,80.74977112
10/13/2023,80.98570251
10/16/2023,81.62359619
10/17/2023,82.79450226
10/18/2023,81.71096039
10/19/2023,81.04686737
10/20/2023,80.43518829
10/23/2023,78.78367615
10/24/2023,80.18178558
10/25/2023,77.97975159
10/26/2023,78.52153778
10/27/2023,79.02833557
10/30/2023,79.16815186
10/31/2023,78.85357666
11/1/2023,78.54773712
11/2/2023,80.35654449
11/3/2023,81.00317383
11/6/2023,80.57501221
11/7/2023,79.61380005
11/8/2023,79.73613739
11/9/2023,80.26043701
11/10/2023,81.9818573
11/13/2023,81.9294281
11/14/2023,84.2101059
11/15/2023,84.97032928
11/16/2023,84.08776093
11/17/2023,84.96157837
11/20/2023,84.19262695
11/21/2023,83.59841156
11/22/2023,82.97800446
11/24/2023,83.34991455
11/27/2023,82.42015839
11/28/2023,83.15511322
11/29/2023,83.23479462
11/30/2023,84.20882416
12/1/2023,84.56301117
12/4/2023,83.31448364
12/5/2023,82.18994141
12/6/2023,81.84459686
12/7/2023,81.62322998
12/8/2023,81.97742462
12/11/2023,82.0836792
12/12/2023,81.13622284
12/13/2023,82.43787384
12/14/2023,83.76608276
12/15/2023,84.13798523
12/18/2023,84.56301117
12/19/2023,85.83810425
12/20/2023,84.87293243
12/21/2023,85.39536285
12/22/2023,85.05888367
12/26/2023,85.60787964
12/27/2023,85.42193604
12/28/2023,84.73125458
12/29/2023,84.19111633
1/2/2024,85.51932526
1/3/2024,85.4927597
1/4/2024,85.08544159
1/5/2024,85.77612305
1/8/2024,85.59017181
1/9/2024,84.27081299
1/10/2024,83.52700806
1/11/2024,83.86348724
1/12/2024,83.61554718
1/16/2024,83.20822906
1/17/2024,82.0836792
1/18/2024,82.62380981
1/19/2024,82.69465637
1/22/2024,83.02228546
1/23/2024,83.74838257
1/24/2024,82.72122192
1/25/2024,84.46560669
1/26/2024,84.50102997
1/29/2024,84.35935211
1/30/2024,84.69583893
1/31/2024,83.34106445
2/1/2024,83.77493286
2/2/2024,82.22535706
2/5/2024,82.48214722
2/6/2024,83.65097809
2/7/2024,83.65097809
2/8/2024,84.10256195
2/9/2024,84.47447205
2/12/2024,85.44849396
2/13/2024,83.88121033
2/14/2024,83.80150604
2/15/2024,86.30740356
2/16/2024,86.51105499
2/20/2024,85.24482727
2/21/2024,86.22771454
2/22/2024,87.03349304
2/23/2024,87.90125275
2/26/2024,87.50279999
2/27/2024,87.66217804
2/28/2024,87.47622681
2/29/2024,88.79559326
3/1/2024,89.17218781
3/4/2024,91.15380859
3/5/2024,90.99240112
3/6/2024,89.58465576
3/7/2024,88.78662872
3/8/2024,88.71489716
3/11/2024,90.25714111
3/12/2024,90.14057922
3/13/2024,91.19862366
3/14/2024,89.66535187
3/15/2024,89.58465576
3/18/2024,89.53085327
3/19/2024,89.51291656
3/20/2024,91.71868134
3/21/2024,90.78616333
3/22/2024,90.54408264
3/25/2024,90.10469818
3/26/2024,90.68753052
3/27/2024,92.31047058
3/28/2024,91.7097168
4/1/2024,91.52141571
4/2/2024,93.41335297
4/3/2024,94.91973877
4/4/2024,93.61062622
