Date,covestro
2/23/2022,47.37490463
2/24/2022,43.82178879
2/25/2022,44.4972496
2/28/2022,43.68299484
3/1/2022,42.68368149
3/2/2022,42.77620697
3/3/2022,41.45304108
3/4/2022,39.27861023
3/7/2022,38.13124466
3/8/2022,38.82521439
3/9/2022,42.26729965
3/10/2022,41.90643692
3/11/2022,42.20252991
3/14/2022,43.3036232
3/15/2022,42.554142
3/16/2022,43.91431427
3/17/2022,43.86805344
3/18/2022,43.86805344
3/21/2022,44.11788177
3/22/2022,44.41397476
3/23/2022,44.06236267
3/24/2022,43.93282318
3/25/2022,42.76695633
3/28/2022,43.49793243
3/29/2022,45.08018494
3/30/2022,43.42391205
3/31/2022,42.41534424
4/1/2022,42.24879074
4/4/2022,42.65591812
4/5/2022,42.13776016
4/6/2022,40.83309937
4/7/2022,40.33343887
4/8/2022,40.69430161
4/11/2022,40.12987518
4/12/2022,40.36119843
4/13/2022,39.73199844
4/14/2022,40.29642868
4/19/2022,41.41603088
4/20/2022,42.1099968
4/21/2022,42.1099968
4/22/2022,45.50999832
4/25/2022,41.11000061
4/26/2022,41.11000061
4/27/2022,41.11000061
4/28/2022,41.22000122
4/29/2022,41.29000092
5/2/2022,41.29000092
5/3/2022,39.40000153
5/4/2022,40.20000076
5/5/2022,38.75
5/6/2022,38.75
5/9/2022,38.75
5/10/2022,38.43000031
5/11/2022,38.43000031
5/12/2022,38.99000168
5/13/2022,38.99000168
5/16/2022,39.56000137
5/17/2022,40.72000122
5/18/2022,40.04999924
5/19/2022,40.04999924
5/20/2022,39.99000168
5/23/2022,40.93999863
5/24/2022,40.24000168
5/25/2022,40.24000168
5/26/2022,41.88999939
5/27/2022,41.88999939
5/30/2022,41.88999939
5/31/2022,42.5
6/1/2022,43.08000183
6/2/2022,43.08000183
6/3/2022,43.08000183
6/6/2022,44.06000137
6/7/2022,43.40000153
6/8/2022,43.81000137
6/9/2022,43.36000061
6/10/2022,41.56000137
6/13/2022,40.77000046
6/14/2022,39.59999847
6/15/2022,39.59000015
6/16/2022,36.15000153
6/17/2022,35.72999954
6/20/2022,35.58000183
6/21/2022,36.11999893
6/22/2022,34.13999939
6/23/2022,33.11000061
6/24/2022,34.47999954
6/27/2022,34.25999832
6/28/2022,34.38000107
6/29/2022,32.97999954
6/30/2022,32.97999954
7/1/2022,32.52999878
