Date,basf
12/22/2021,46.02491379
12/23/2021,46.70051193
12/27/2021,47.05366516
12/28/2021,47.36842728
12/29/2021,47.19185257
12/30/2021,47.4298439
1/3/2022,48.04402542
1/4/2022,50.13990402
1/5/2022,50.53911972
1/6/2022,50.52376175
1/7/2022,50.75408173
1/10/2022,50.73872757
1/11/2022,51.19935989
1/12/2022,51.32987213
1/13/2022,52.01314545
1/14/2022,52.28952408
1/17/2022,52.31255722
1/18/2022,51.94405365
1/19/2022,52.05153275
1/20/2022,51.77515411
1/21/2022,50.80782318
1/24/2022,49.33379745
1/25/2022,50.15525818
1/26/2022,51.67534637
1/27/2022,52.55054474
1/28/2022,52.59661102
1/31/2022,51.83656693
2/1/2022,52.174366
2/2/2022,52.16668701
2/3/2022,51.80586624
2/4/2022,51.21471024
2/7/2022,51.4143219
2/8/2022,52.35861969
2/9/2022,52.68106461
2/10/2022,52.63499832
2/11/2022,52.73480225
2/14/2022,51.01510239
2/15/2022,52.35094452
2/16/2022,52.60429001
2/17/2022,52.08991623
2/18/2022,51.63696289
2/21/2022,50.73872757
2/22/2022,50.10919571
2/23/2022,49.79442978
2/24/2022,46.87708664
2/25/2022,46.39342499
2/28/2022,45.48751068
3/1/2022,42.623909
3/2/2022,43.98278046
3/3/2022,42.18630981
3/4/2022,39.30735016
3/7/2022,37.44178772
3/8/2022,38.21718597
3/9/2022,42.06347275
3/10/2022,40.8504715
3/11/2022,41.36484909
3/14/2022,41.96366882
3/15/2022,41.31877899
3/16/2022,42.46268845
3/17/2022,41.88689804
3/18/2022,41.47232437
3/21/2022,41.76406097
3/22/2022,41.88689804
3/23/2022,40.88118362
3/24/2022,40.15184402
3/25/2022,39.77566528
3/28/2022,40.4205513
3/29/2022,42.25540543
3/30/2022,40.91189194
3/31/2022,39.73727417
4/1/2022,40.02133179
4/4/2022,39.82172394
4/5/2022,39.25361252
4/6/2022,38.62408066
4/7/2022,38.65478516
4/8/2022,39.43019104
4/11/2022,39.46089935
4/12/2022,39.89081573
4/13/2022,39.41482925
4/14/2022,39.66050339
4/19/2022,40.06739426
4/20/2022,40.62783051
4/21/2022,40.62783051
4/22/2022,40.167202
4/25/2022,39.71424484
4/26/2022,38.80833054
4/27/2022,38.80833054
4/28/2022,39.00793839
4/29/2022,38.70085144
5/2/2022,39.05073166
5/3/2022,39.11247253
5/4/2022,40.37615585
5/5/2022,39.16598892
5/6/2022,39.16598892
5/9/2022,38.75848007
5/10/2022,39.93572235
5/11/2022,40.83306122
5/12/2022,40.38851166
5/13/2022,40.38851166
5/16/2022,40.58197021
5/17/2022,41.73040009
5/18/2022,41.04298782
5/19/2022,40.22386169
5/20/2022,40.21562576
5/23/2022,40.94420242
5/24/2022,40.13741684
5/25/2022,40.13741684
5/26/2022,41.81272507
5/27/2022,41.81272507
5/30/2022,41.81272507
5/31/2022,42.22434998
6/1/2022,42.58657837
6/2/2022,42.58657837
6/3/2022,42.8253212
6/6/2022,43.23694611
6/7/2022,42.95703888
6/8/2022,43.36866379
6/9/2022,42.70183182
6/10/2022,40.85776138
